POS_X,POS_Y,Speed
-126.317,-111.717,1.91488e-07
-126.317,-111.717,-5.88574e-09
-126.317,-111.717,-2.28387e-07
-126.317,-111.717,-2.59475e-07
-126.317,-111.717,5.03762e-08
-126.317,-111.717,-2.3677e-07
-126.317,-111.717,-6.32112e-08
-126.317,-111.717,1.83865e-07
-126.317,-111.717,-4.76475e-08
-126.317,-111.717,-8.12161e-08
-126.317,-111.717,-2.8844e-07
-126.317,-111.717,1.06945e-07
-126.317,-111.717,-1.997e-07
-126.317,-111.717,2.03204e-07
-126.317,-111.717,-3.80813e-07
-126.317,-111.717,-1.95236e-07
-126.317,-111.717,2.06196e-07
-126.317,-111.717,0.11901
-126.316,-111.7,0.384502
-126.313,-111.658,0.672638
-126.309,-111.594,0.889475
-126.304,-111.515,1.11262
-126.298,-111.419,1.27783
-126.291,-111.307,1.45146
-126.292,-111.182,1.57684
-126.287,-111.048,1.72642
-126.279,-110.905,1.83346
-126.271,-110.748,1.96613
-126.261,-110.575,2.06203
-126.251,-110.404,2.18195
-126.241,-110.221,2.29439
-126.231,-110.028,2.46896
-126.219,-109.819,2.63029
-126.206,-109.595,2.8351
-126.193,-109.352,3.01645
-126.179,-109.097,3.23145
-126.164,-108.824,3.41881
-126.147,-108.529,3.64356
-126.13,-108.214,3.84055
-126.112,-107.89,4.06269
-126.093,-107.554,4.25988
-126.073,-107.188,4.48046
-126.052,-106.806,4.69008
-126.03,-106.408,4.90498
-126.007,-105.994,5.15793
-125.982,-105.551,5.40784
-125.957,-105.103,5.59205
-125.931,-104.637,5.40171
-125.906,-104.186,5.73717
-125.88,-103.704,6.04454
-125.851,-103.196,6.46229
-125.822,-102.673,6.76185
-125.791,-102.102,6.9498
-125.759,-101.514,7.31982
-125.725,-100.904,7.50969
-125.69,-100.268,7.57814
-125.655,-99.6342,7.84926
-125.62,-98.9922,7.90721
-125.588,-98.3166,7.79473
-125.582,-97.6931,7.98636
-125.58,-97.0678,7.76512
-125.572,-96.4529,7.68923
-125.564,-95.845,7.44094
-125.57,-95.2323,7.38038
-125.604,-94.6166,7.26433
-125.631,-94.0383,7.13606
-125.653,-93.4666,6.96642
-125.675,-92.9365,6.99871
-125.695,-92.4107,6.87192
-125.718,-91.8652,6.83955
-125.738,-91.3303,6.81997
-125.759,-90.8175,6.85786
-125.78,-90.2709,6.91911
-125.801,-89.7441,6.94379
-125.822,-89.2177,7.12032
-125.844,-88.6473,7.31479
-125.866,-88.0995,7.50427
-125.9,-87.5251,7.3723
-125.955,-86.9734,7.43892
-126.004,-86.4113,7.78244
-126.053,-85.8216,7.96731
-126.101,-85.2378,8.31898
-126.142,-84.6369,8.48613
-126.162,-83.9986,8.80498
-126.173,-83.3317,8.97728
-126.192,-82.6488,9.30912
-126.211,-81.9224,9.50627
-126.231,-81.2102,9.79867
-126.253,-80.4747,9.98611
-126.275,-79.7199,10.2686
-126.298,-78.9323,10.4571
-126.321,-78.1489,10.7255
-126.344,-77.3587,10.9129
-126.367,-76.5453,11.1595
-126.391,-75.7258,11.3527
-126.417,-74.8668,11.5873
-126.444,-73.9341,11.7972
-126.47,-73.0514,12.0256
-126.495,-72.1808,12.2175
-126.522,-71.2705,12.4294
-126.549,-70.3454,12.63
-126.577,-69.3972,12.8366
-126.606,-68.4382,13.0373
-126.633,-67.5017,13.2311
-126.662,-66.5248,13.1903
-126.69,-65.5599,13.184
